number, created_at, updated_at, closed_at
25033, 2022-08-03T08:42:51Z, 2023-12-13T02:58:08Z, None
25007, 2022-07-29T12:33:34Z, 2024-01-14T19:09:31Z, None
24996, 2022-07-27T06:25:25Z, 2022-07-27T06:25:42Z, 2022-07-27T06:25:42Z
24980, 2022-07-24T12:53:21Z, 2024-04-04T02:43:59Z, 2022-08-17T20:17:37Z
24965, 2022-07-20T15:32:03Z, 2022-07-21T00:55:30Z, 2022-07-21T00:55:08Z
24949, 2022-07-18T06:27:41Z, 2022-09-06T23:03:43Z, 2022-09-06T23:03:43Z
24932, 2022-07-15T06:54:26Z, 2022-07-27T12:31:40Z, 2022-07-27T12:31:40Z
24874, 2022-07-07T20:18:39Z, 2022-07-12T21:41:25Z, 2022-07-12T21:41:25Z
24870, 2022-07-07T17:02:35Z, 2022-07-12T21:35:59Z, 2022-07-12T21:35:59Z
24864, 2022-07-06T23:05:13Z, 2022-07-08T12:13:29Z, 2022-07-08T12:13:29Z
24844, 2022-07-05T03:46:47Z, 2022-11-23T18:52:51Z, 2022-07-08T08:36:50Z
24818, 2022-06-30T06:01:54Z, 2022-07-05T14:15:43Z, 2022-07-05T14:15:43Z
24807, 2022-06-29T02:11:00Z, 2022-06-29T02:11:19Z, 2022-06-29T02:11:19Z
24791, 2022-06-26T11:54:31Z, 2024-06-22T10:36:28Z, None
24781, 2022-06-23T17:43:19Z, 2023-04-03T10:32:19Z, 2023-04-03T10:32:19Z
24740, 2022-06-16T17:25:12Z, 2024-04-19T09:53:03Z, None
24731, 2022-06-15T16:17:24Z, 2023-11-07T10:38:26Z, None
24690, 2022-06-08T13:57:18Z, 2022-06-08T14:19:03Z, 2022-06-08T14:19:03Z
24687, 2022-06-07T23:04:48Z, 2022-06-07T23:05:04Z, 2022-06-07T23:05:04Z
24682, 2022-06-07T13:55:22Z, 2024-06-19T19:34:33Z, 2024-06-19T19:34:33Z
24674, 2022-06-05T03:26:15Z, 2022-06-05T05:48:45Z, 2022-06-05T05:48:45Z
24655, 2022-06-01T23:32:17Z, 2022-08-08T20:15:54Z, None
24634, 2022-05-28T19:25:52Z, 2022-06-20T01:17:31Z, None
24626, 2022-05-26T22:56:27Z, 2023-02-17T19:39:23Z, 2022-06-02T20:02:49Z
24623, 2022-05-26T02:08:32Z, 2022-06-17T18:43:10Z, 2022-06-17T18:43:10Z
24608, 2022-05-24T10:54:44Z, 2022-10-27T14:05:10Z, None
24603, 2022-05-23T20:29:50Z, 2022-06-10T14:38:33Z, 2022-06-10T14:38:33Z
24600, 2022-05-23T18:43:13Z, 2024-03-18T23:30:03Z, None
24592, 2022-05-22T03:31:38Z, 2022-05-25T21:15:32Z, None
24581, 2022-05-19T06:17:14Z, 2022-05-19T06:17:36Z, 2022-05-19T06:17:36Z
24560, 2022-05-15T03:32:07Z, 2023-03-13T11:25:04Z, None
24559, 2022-05-14T15:57:43Z, 2022-05-16T13:33:07Z, 2022-05-14T21:35:24Z
24549, 2022-05-12T18:21:01Z, 2022-05-16T19:27:47Z, 2022-05-13T13:22:44Z
24548, 2022-05-12T16:28:24Z, 2022-05-12T16:30:30Z, 2022-05-12T16:30:08Z
24543, 2022-05-12T09:55:13Z, 2022-05-13T13:23:52Z, 2022-05-12T14:29:36Z
24539, 2022-05-11T10:41:10Z, 2022-06-08T20:01:07Z, 2022-06-08T20:01:07Z
24538, 2022-05-11T08:52:21Z, 2023-03-28T15:35:12Z, 2023-03-28T15:35:11Z
24511, 2022-05-07T00:26:58Z, 2022-05-08T00:47:51Z, 2022-05-08T00:47:51Z
24469, 2022-04-29T14:22:45Z, 2023-07-28T16:50:19Z, None
